,filename,model,error,predicted,groundTruth,MAE,RMSE
0,NAD146_color_image0.jpg,181,0,8,8,1.067,2.28
1,nad38_color_image0.jpg,181,0,12,12,1.067,2.28
2,nad079_color_image0.jpg,181,0,13,13,1.067,2.28
3,NAD077_color_image0.jpg,181,1,17,16,1.067,2.28
4,NAD094_color_image0.jpg,181,0,16,16,1.067,2.28
5,NAD090_color_image0.jpg,181,1,19,18,1.067,2.28
6,NAD124_color_image0.jpg,181,0,19,19,1.067,2.28
7,nad001_color_image0.jpg,181,0,20,20,1.067,2.28
8,nad080_color_image0.jpg,181,0,20,20,1.067,2.28
9,NAD153_color_image0.jpg,181,0,20,20,1.067,2.28
10,nad14_color_image0.jpg,181,-2,21,23,1.067,2.28
11,NAD087_color_image0.jpg,181,0,25,25,1.067,2.28
12,nad44_color_image0.jpg,181,-8,20,28,1.067,2.28
13,nad116_color_image0.jpg,181,-2,29,31,1.067,2.28
14,NAD128_color_image0.jpg,181,-2,30,32,1.067,2.28
15,nad076_color_image0.jpg,182,0,4,4,0.267,0.632
16,NAD127_color_image0.jpg,182,2,11,9,0.267,0.632
17,NAD142_color_image0.jpg,182,0,13,13,0.267,0.632
18,nad22_color_image0.jpg,182,1,17,16,0.267,0.632
19,nad47_color_image0.jpg,182,2,19,17,0.267,0.632
20,NAD114_color_image0.jpg,182,1,18,17,0.267,0.632
21,nad40_color_image0.jpg,182,0,19,19,0.267,0.632
22,nad66_color_image0.jpg,182,0,20,20,0.267,0.632
23,NAD088_color_image0.jpg,182,0,20,20,0.267,0.632
24,NAD138_color_image0.jpg,182,0,21,21,0.267,0.632
25,NAD125_color_image0.jpg,182,0,22,22,0.267,0.632
26,nad51_color_image0.jpg,182,0,25,25,0.267,0.632
27,NAD089_color_image0.jpg,182,1,28,27,0.267,0.632
28,nad35_color_image0.jpg,182,0,29,29,0.267,0.632
29,nad116_color_image0.jpg,182,1,32,31,0.267,0.632
30,NAD137_color_image0.jpg,183,2,9,7,0.089,0.365
31,NAD164_color_image0.jpg,183,0,12,12,0.089,0.365
32,nad13_color_image0.jpg,183,0,13,13,0.089,0.365
33,nad30_color_image0.jpg,183,1,17,16,0.089,0.365
34,nad003_color_image0.jpg,183,0,17,17,0.089,0.365
35,NAD090_color_image0.jpg,183,1,19,18,0.089,0.365
36,NAD084_color_image0.jpg,183,0,19,19,0.089,0.365
37,nad004_color_image0.jpg,183,0,20,20,0.089,0.365
38,nad67_color_image0.jpg,183,0,20,20,0.089,0.365
39,nad10_color_image0.jpg,183,0,22,22,0.089,0.365
40,nad43_color_image0.jpg,183,0,22,22,0.089,0.365
41,NAD087_color_image0.jpg,183,0,25,25,0.089,0.365
42,nad42_color_image0.jpg,183,0,28,28,0.089,0.365
43,nad35_color_image0.jpg,183,0,29,29,0.089,0.365
44,NAD163_color_image0.jpg,183,0,41,41,0.089,0.365
45,NAD129_color_image0.jpg,184,-3,0,3,0.1,0.447
46,NAD160_color_image0.jpg,184,0,11,11,0.1,0.447
47,NAD171_color_image0.jpg,184,0,13,13,0.1,0.447
48,NAD077_color_image0.jpg,184,0,16,16,0.1,0.447
49,nad003_color_image0.jpg,184,0,17,17,0.1,0.447
50,NAD15_color_image0.jpg,184,-1,18,19,0.1,0.447
51,nad40_color_image0.jpg,184,1,20,19,0.1,0.447
